Data,Mês,Canal,Produto,Quantidade Vendida,Preço Unitário,Receita Total
2025-01-01,Janeiro,A1500107,Malaa,66.0,,
2025-01-01,Janeiro,A3100104,Malaa,37.0,,
2025-01-01,Janeiro,A1500107,Garrafa,80.0,,
2025-01-01,Janeiro,A3100104,Boné,23.0,,
2025-01-01,Janeiro,A1500108,Mochila,15.0,,
2025-01-01,Janeiro,A1500108,Garrafa,52.0,,
2025-01-01,Janeiro,A1500107,Garrafa,100.0,,
2025-01-01,Janeiro,A1500107,BOLSA,90.0,999.0,89910.0
2025-01-01,Janeiro,A1500108,Malaa,19.0,,
2025-01-01,Janeiro,A3100104,Mochila,19.0,,
2025-01-01,Janeiro,A3100104,FONE,25.0,159.0,3975.0
2025-01-01,Janeiro,A3100104,FONE,44.0,159.0,6996.0
2025-01-01,Janeiro,A3100104,Garrafa,34.0,,
2025-01-01,Janeiro,A3100104,Tênis,51.0,,
2025-01-01,Janeiro,A1500108,FONE,90.0,159.0,14310.0
2025-01-01,Janeiro,A1500107,Carteira,66.0,210.0,13860.0
2025-01-01,Janeiro,A3100104,Malaa,43.0,,
2025-01-01,Janeiro,A1500108,Tênis,43.0,,
2025-01-01,Janeiro,A1500108,Boné,156.0,,
2025-01-01,Janeiro,A1500107,Tênis,94.0,,
2025-01-01,Janeiro,A3100104,Mochila,38.0,,
2025-01-01,Janeiro,A3100104,BOLSA,16.0,999.0,15984.0
2025-01-01,Janeiro,A1500108,Malaa,16.0,,
2025-01-01,Janeiro,A1500108,Carteira,50.0,210.0,10500.0
2025-01-01,Janeiro,A1500108,Carteira,32.0,210.0,6720.0
2025-01-01,Janeiro,A1500107,Malaa,196.0,,
2025-01-01,Janeiro,A1500108,Mochila,37.0,,
2025-01-01,Janeiro,A3100104,Carteira,48.0,210.0,10080.0
2025-01-01,Janeiro,A1500108,Garrafa,36.0,,
2025-01-01,Janeiro,A1500107,Carteira,38.0,210.0,7980.0
2025-01-01,Janeiro,A1500107,BOLSA,204.0,999.0,203796.0
2025-01-01,Janeiro,A1500108,Mochila,40.0,,
2025-01-01,Janeiro,A1500107,Garrafa,68.0,,
2025-01-01,Janeiro,A3100104,Mochila,15.0,,
2025-01-01,Janeiro,A1500107,Malaa,58.0,,
2025-01-01,Janeiro,A1500107,Malaa,136.0,,
2025-01-01,Janeiro,A1500107,BOLSA,72.0,999.0,71928.0
2025-01-01,Janeiro,A1500108,Boné,15.0,,
2025-01-01,Janeiro,A1500108,FONE,66.0,159.0,10494.0
2025-01-01,Janeiro,A1500108,Tênis,36.0,,
2025-01-01,Janeiro,A1500108,FONE,87.0,159.0,13833.0
2025-01-01,Janeiro,A1500108,Carteira,141.0,210.0,29610.0
2025-01-01,Janeiro,A1500108,Tênis,24.0,,
2025-01-01,Janeiro,A1500108,Garrafa,50.0,,
2025-01-01,Janeiro,A1500107,Garrafa,56.0,,
2025-01-01,Janeiro,A3100104,Tênis,27.0,,
2025-01-01,Janeiro,A1500107,Garrafa,62.0,,
2025-01-01,Janeiro,A3100104,Carteira,44.0,210.0,9240.0
2025-01-01,Janeiro,A1500108,BOLSA,39.0,999.0,38961.0
2025-01-01,Janeiro,A1500108,Mochila,32.0,,
2025-01-01,Janeiro,A1500108,Mochila,54.0,,
2025-01-01,Janeiro,A1500108,Mochila,17.0,,
2025-01-01,Janeiro,A1500108,Boné,27.0,,
2025-01-01,Janeiro,A3100104,Malaa,28.0,,
2025-01-01,Janeiro,A1500108,Boné,45.0,,
2025-01-01,Janeiro,A3100104,FONE,40.0,159.0,6360.0
2025-01-01,Janeiro,A3100104,BOLSA,37.0,999.0,36963.0
2025-01-01,Janeiro,A3100104,Garrafa,25.0,,
2025-01-01,Janeiro,A1500107,Garrafa,60.0,,
2025-01-01,Janeiro,A1500108,Mochila,49.0,,
2025-01-01,Janeiro,A1500108,BOLSA,29.0,999.0,28971.0
2025-01-01,Janeiro,A1500108,Carteira,42.0,210.0,8820.0
2025-01-01,Janeiro,A1500107,Carteira,58.0,210.0,12180.0
2025-01-01,Janeiro,A1500108,BOLSA,132.0,999.0,131868.0
2025-01-01,Janeiro,A1500108,Tênis,156.0,,
2025-01-01,Janeiro,A1500107,FONE,80.0,159.0,12720.0
2025-01-01,Janeiro,A1500108,Mochila,156.0,,
2025-01-01,Janeiro,A3100104,Garrafa,26.0,,
2025-01-01,Janeiro,A3100104,Garrafa,28.0,,
2025-01-01,Janeiro,A1500108,BOLSA,48.0,999.0,47952.0
2025-01-01,Janeiro,A1500108,Boné,120.0,,
2025-01-01,Janeiro,A1500108,BOLSA,39.0,999.0,38961.0
2025-01-01,Janeiro,A3100104,BOLSA,43.0,999.0,42957.0
2025-01-01,Janeiro,A3100104,Carteira,48.0,210.0,10080.0
2025-01-01,Janeiro,A1500107,Malaa,108.0,,
2025-02-01,Fevereiro,A3100104,Mochila,16.0,,
2025-02-01,Fevereiro,A3100104,Carteira,45.0,210.0,9450.0
2025-02-01,Fevereiro,A3100104,Boné,45.0,,
2025-02-01,Fevereiro,A1500108,FONE,24.0,159.0,3816.0
2025-02-01,Fevereiro,A1500108,Boné,27.0,,
2025-02-01,Fevereiro,A3100104,Carteira,36.0,210.0,7560.0
2025-02-01,Fevereiro,A1500108,FONE,144.0,159.0,22896.0
2025-02-01,Fevereiro,A1500108,Mochila,32.0,,
2025-02-01,Fevereiro,A1500108,Mochila,36.0,,
2025-02-01,Fevereiro,A1500108,Malaa,114.0,,
2025-02-01,Fevereiro,A1500107,Garrafa,64.0,,
2025-02-01,Fevereiro,A3100104,Malaa,15.0,,
2025-02-01,Fevereiro,A1500107,Boné,56.0,,
2025-02-01,Fevereiro,A3100104,Tênis,47.0,,
2025-02-01,Fevereiro,A3100104,Garrafa,26.0,,
2025-02-01,Fevereiro,A1500108,Carteira,52.0,210.0,10920.0
2025-02-01,Fevereiro,A1500108,Carteira,37.0,210.0,7770.0
2025-02-01,Fevereiro,A1500108,Boné,27.0,,
2025-02-01,Fevereiro,A1500108,BOLSA,84.0,999.0,83916.0
2025-02-01,Fevereiro,A1500108,Tênis,45.0,,
2025-02-01,Fevereiro,A3100104,Boné,39.0,,
2025-02-01,Fevereiro,A3100104,BOLSA,39.0,999.0,38961.0
2025-02-01,Fevereiro,A1500108,Boné,32.0,,
2025-02-01,Fevereiro,A1500107,Boné,84.0,,
2025-02-01,Fevereiro,A1500108,Malaa,27.0,,
2025-02-01,Fevereiro,A3100104,Tênis,42.0,,
2025-02-01,Fevereiro,A1500108,Boné,66.0,,
2025-02-01,Fevereiro,A3100104,Tênis,27.0,,
2025-02-01,Fevereiro,A3100104,Mochila,51.0,,
2025-02-01,Fevereiro,A3100104,Malaa,47.0,,
2025-02-01,Fevereiro,A1500108,Tênis,40.0,,
2025-02-01,Fevereiro,A3100104,Mochila,22.0,,
2025-02-01,Fevereiro,A1500107,FONE,62.0,159.0,9858.0
2025-02-01,Fevereiro,A1500108,Mochila,93.0,,
2025-02-01,Fevereiro,A3100104,FONE,18.0,159.0,2862.0
2025-02-01,Fevereiro,A3100104,Carteira,32.0,210.0,6720.0
2025-02-01,Fevereiro,A1500107,Carteira,38.0,210.0,7980.0
2025-02-01,Fevereiro,A1500108,Malaa,18.0,,
2025-02-01,Fevereiro,A3100104,FONE,50.0,159.0,7950.0
2025-02-01,Fevereiro,A1500108,Garrafa,22.0,,
2025-02-01,Fevereiro,A1500108,Garrafa,87.0,,
2025-02-01,Fevereiro,A3100104,FONE,33.0,159.0,5247.0
2025-02-01,Fevereiro,A1500107,BOLSA,34.0,999.0,33966.0
2025-02-01,Fevereiro,A3100104,Carteira,34.0,210.0,7140.0
2025-02-01,Fevereiro,A1500108,Carteira,44.0,210.0,9240.0
2025-02-01,Fevereiro,A3100104,Mochila,39.0,,
2025-02-01,Fevereiro,A1500108,Mochila,27.0,,
2025-02-01,Fevereiro,A1500108,BOLSA,45.0,999.0,44955.0
2025-02-01,Fevereiro,A1500108,Mochila,19.0,,
2025-02-01,Fevereiro,A3100104,Malaa,49.0,,
2025-02-01,Fevereiro,A1500108,Carteira,117.0,210.0,24570.0
2025-02-01,Fevereiro,A1500108,Tênis,40.0,,
2025-02-01,Fevereiro,A3100104,Malaa,40.0,,
2025-02-01,Fevereiro,A1500107,FONE,42.0,159.0,6678.0
2025-02-01,Fevereiro,A1500107,Carteira,42.0,210.0,8820.0
2025-02-01,Fevereiro,A3100104,Tênis,50.0,,
2025-02-01,Fevereiro,A1500107,Malaa,60.0,,
2025-02-01,Fevereiro,A1500108,Carteira,22.0,210.0,4620.0
2025-02-01,Fevereiro,A1500108,Carteira,35.0,210.0,7350.0
2025-02-01,Fevereiro,A1500108,Malaa,57.0,,
2025-02-01,Fevereiro,A1500108,BOLSA,60.0,999.0,59940.0
2025-02-01,Fevereiro,A1500108,Garrafa,25.0,,
2025-02-01,Fevereiro,A1500108,BOLSA,47.0,999.0,46953.0
2025-02-01,Fevereiro,A1500108,Garrafa,47.0,,
2025-02-01,Fevereiro,A1500108,BOLSA,16.0,999.0,15984.0
2025-02-01,Fevereiro,A1500108,Carteira,17.0,210.0,3570.0
2025-02-01,Fevereiro,A3100104,Mochila,17.0,,
2025-02-01,Fevereiro,A3100104,Mochila,49.0,,
2025-02-01,Fevereiro,A1500108,Carteira,33.0,210.0,6930.0
2025-02-01,Fevereiro,A3100104,Malaa,50.0,,
2025-02-01,Fevereiro,A3100104,FONE,45.0,159.0,7155.0
2025-02-01,Fevereiro,A3100104,Garrafa,42.0,,
2025-02-01,Fevereiro,A1500108,Malaa,52.0,,
2025-02-01,Fevereiro,A1500107,FONE,132.0,159.0,20988.0
2025-02-01,Fevereiro,A1500107,Mochila,66.0,,
2025-02-01,Fevereiro,A1500108,Boné,60.0,,
2025-02-01,Fevereiro,A1500108,Boné,99.0,,
2025-02-01,Fevereiro,A1500107,Carteira,100.0,210.0,21000.0
2025-02-01,Fevereiro,A1500108,BOLSA,15.0,999.0,14985.0
2025-02-01,Fevereiro,A3100104,FONE,50.0,159.0,7950.0
2025-02-01,Fevereiro,A1500108,BOLSA,33.0,999.0,32967.0
2025-02-01,Fevereiro,A1500107,Malaa,54.0,,
2025-02-01,Fevereiro,A1500107,Tênis,66.0,,
2025-02-01,Fevereiro,A1500107,Malaa,54.0,,
2025-02-01,Fevereiro,A3100104,Tênis,41.0,,
2025-02-01,Fevereiro,A1500108,Boné,111.0,,
2025-02-01,Fevereiro,A3100104,Mochila,48.0,,
2025-02-01,Fevereiro,A1500107,FONE,128.0,159.0,20352.0
2025-02-01,Fevereiro,A1500107,Boné,184.0,,
2025-02-01,Fevereiro,A1500108,BOLSA,41.0,999.0,40959.0
2025-02-01,Fevereiro,A3100104,Boné,43.0,,
2025-02-01,Fevereiro,A1500108,FONE,105.0,159.0,16695.0
2025-02-01,Fevereiro,A1500108,Malaa,43.0,,
2025-02-01,Fevereiro,A3100104,Malaa,45.0,,
2025-02-01,Fevereiro,A1500108,Garrafa,108.0,,
2025-02-01,Fevereiro,A1500107,Malaa,62.0,,
2025-02-01,Fevereiro,A3100104,Mochila,17.0,,
2025-02-01,Fevereiro,A1500107,Mochila,62.0,,
2025-02-01,Fevereiro,A1500107,Carteira,70.0,210.0,14700.0
2025-02-01,Fevereiro,A1500107,Carteira,34.0,210.0,7140.0
2025-02-01,Fevereiro,A3100104,BOLSA,29.0,999.0,28971.0
2025-02-01,Fevereiro,A3100104,FONE,49.0,159.0,7791.0
2025-02-01,Fevereiro,A1500108,Tênis,18.0,,
2025-02-01,Fevereiro,A1500108,Mochila,35.0,,
2025-02-01,Fevereiro,A3100104,FONE,21.0,159.0,3339.0
2025-02-01,Fevereiro,A3100104,BOLSA,51.0,999.0,50949.0
2025-02-01,Fevereiro,A1500108,Carteira,48.0,210.0,10080.0
2025-02-01,Fevereiro,A3100104,Garrafa,37.0,,
2025-02-01,Fevereiro,A1500108,Garrafa,19.0,,
2025-02-01,Fevereiro,A1500107,Mochila,54.0,,
2025-02-01,Fevereiro,A1500108,Tênis,51.0,,
2025-02-01,Fevereiro,A3100104,Carteira,27.0,210.0,5670.0
2025-02-01,Fevereiro,A1500108,Mochila,120.0,,
2025-02-01,Fevereiro,A1500107,Malaa,60.0,,
2025-02-01,Fevereiro,A3100104,Malaa,28.0,,
2025-02-01,Fevereiro,A1500108,Carteira,41.0,210.0,8610.0
2025-02-01,Fevereiro,A1500108,BOLSA,46.0,999.0,45954.0
2025-02-01,Fevereiro,A1500108,Boné,39.0,,
2025-02-01,Fevereiro,A3100104,Boné,47.0,,
2025-02-01,Fevereiro,A1500108,Garrafa,105.0,,
2025-02-01,Fevereiro,A3100104,BOLSA,48.0,999.0,47952.0
2025-02-01,Fevereiro,A3100104,BOLSA,49.0,999.0,48951.0
2025-02-01,Fevereiro,A3100104,Carteira,49.0,210.0,10290.0
2025-02-01,Fevereiro,A1500108,Mochila,39.0,,
2025-02-01,Fevereiro,A1500108,FONE,93.0,159.0,14787.0
2025-02-01,Fevereiro,A1500107,BOLSA,100.0,999.0,99900.0
2025-02-01,Fevereiro,A1500108,BOLSA,46.0,999.0,45954.0
2025-02-01,Fevereiro,A1500108,Carteira,23.0,210.0,4830.0
2025-02-01,Fevereiro,A1500108,Garrafa,25.0,,
2025-02-01,Fevereiro,A1500107,Garrafa,58.0,,
2025-02-01,Fevereiro,A1500107,Garrafa,92.0,,
2025-02-01,Fevereiro,A3100104,Malaa,16.0,,
2025-02-01,Fevereiro,A1500107,FONE,96.0,159.0,15264.0
2025-02-01,Fevereiro,A1500108,Mochila,16.0,,
2025-02-01,Fevereiro,A3100104,Malaa,40.0,,
2025-02-01,Fevereiro,A1500107,Garrafa,86.0,,
2025-02-01,Fevereiro,A1500107,Carteira,188.0,210.0,39480.0
2025-02-01,Fevereiro,A3100104,FONE,48.0,159.0,7632.0
2025-02-01,Fevereiro,A1500107,Tênis,98.0,,
2025-02-01,Fevereiro,A3100104,Mochila,20.0,,
2025-02-01,Fevereiro,A3100104,Garrafa,35.0,,
2025-02-01,Fevereiro,A1500107,Tênis,74.0,,
2025-02-01,Fevereiro,A1500107,FONE,120.0,159.0,19080.0
2025-02-01,Fevereiro,A1500107,FONE,104.0,159.0,16536.0
2025-02-01,Fevereiro,A1500107,Boné,96.0,,
2025-02-01,Fevereiro,A1500108,FONE,49.0,159.0,7791.0
2025-02-01,Fevereiro,A1500108,Malaa,45.0,,
2025-02-01,Fevereiro,A1500108,Boné,81.0,,
2025-02-01,Fevereiro,A3100104,Mochila,34.0,,
2025-02-01,Fevereiro,A1500107,Mochila,52.0,,
2025-02-01,Fevereiro,A3100104,BOLSA,18.0,999.0,17982.0
2025-02-01,Fevereiro,A3100104,Boné,22.0,,
2025-02-01,Fevereiro,A1500107,Mochila,88.0,,
2025-02-01,Fevereiro,A3100104,Boné,47.0,,
2025-02-01,Fevereiro,A3100104,Carteira,33.0,210.0,6930.0
2025-02-01,Fevereiro,A1500108,BOLSA,24.0,999.0,23976.0
2025-02-01,Fevereiro,A1500108,Boné,29.0,,
2025-02-01,Fevereiro,A1500107,BOLSA,40.0,999.0,39960.0
2025-02-01,Fevereiro,A3100104,Malaa,52.0,,
2025-02-01,Fevereiro,A3100104,Garrafa,42.0,,
2025-02-01,Fevereiro,A1500108,Malaa,45.0,,
2025-02-01,Fevereiro,A1500108,Garrafa,33.0,,
2025-02-01,Fevereiro,A1500107,Boné,64.0,,
2025-02-01,Fevereiro,A1500108,Mochila,25.0,,
2025-02-01,Fevereiro,A1500107,Mochila,94.0,,
2025-02-01,Fevereiro,A3100104,FONE,20.0,159.0,3180.0
2025-02-01,Fevereiro,A3100104,BOLSA,22.0,999.0,21978.0
2025-02-01,Fevereiro,A1500108,Malaa,15.0,,
2025-02-01,Fevereiro,A3100104,BOLSA,48.0,999.0,47952.0
2025-02-01,Fevereiro,A1500107,Mochila,94.0,,
2025-02-01,Fevereiro,A1500108,BOLSA,52.0,999.0,51948.0
2025-02-01,Fevereiro,A3100104,Garrafa,48.0,,
2025-02-01,Fevereiro,A1500108,FONE,39.0,159.0,6201.0
2025-02-01,Fevereiro,A1500107,Mochila,120.0,,
2025-02-01,Fevereiro,A3100104,Mochila,17.0,,
2025-02-01,Fevereiro,A3100104,FONE,52.0,159.0,8268.0
2025-02-01,Fevereiro,A3100104,Boné,35.0,,
2025-02-01,Fevereiro,A1500108,Garrafa,35.0,,
2025-02-01,Fevereiro,A1500107,Boné,104.0,,
2025-03-01,Março,A1500107,BOLSA,172.0,999.0,171828.0
2025-03-01,Março,A1500107,Tênis,72.0,,
2025-03-01,Março,A3100104,FONE,37.0,159.0,5883.0
2025-03-01,Março,A3100104,Mochila,36.0,,
2025-03-01,Março,A3100104,Malaa,45.0,,
2025-03-01,Março,A3100104,Tênis,49.0,,
2025-03-01,Março,A3100104,Mochila,51.0,,
2025-03-01,Março,A1500107,BOLSA,44.0,999.0,43956.0
2025-03-01,Março,A1500107,Carteira,66.0,210.0,13860.0
2025-03-01,Março,A3100104,BOLSA,18.0,999.0,17982.0
2025-03-01,Março,A1500108,Malaa,25.0,,
2025-03-01,Março,A3100104,FONE,30.0,159.0,4770.0
2025-03-01,Março,A1500108,Garrafa,32.0,,
2025-03-01,Março,A3100104,Mochila,50.0,,
2025-03-01,Março,A1500108,BOLSA,135.0,999.0,134865.0
2025-03-01,Março,A3100104,FONE,39.0,159.0,6201.0
2025-03-01,Março,A1500108,BOLSA,30.0,999.0,29970.0
2025-03-01,Março,A1500108,Garrafa,31.0,,
2025-03-01,Março,A1500108,Boné,44.0,,
2025-03-01,Março,A3100104,BOLSA,37.0,999.0,36963.0
2025-03-01,Março,A1500108,Carteira,44.0,210.0,9240.0
2025-03-01,Março,A3100104,Carteira,44.0,210.0,9240.0
2025-03-01,Março,A1500108,FONE,37.0,159.0,5883.0
2025-03-01,Março,A1500107,BOLSA,62.0,999.0,61938.0
2025-03-01,Março,A1500107,FONE,46.0,159.0,7314.0
2025-03-01,Março,A3100104,Malaa,32.0,,
2025-03-01,Março,A3100104,Carteira,33.0,210.0,6930.0
2025-03-01,Março,A1500108,FONE,150.0,159.0,23850.0
2025-03-01,Março,A3100104,Tênis,50.0,,
2025-03-01,Março,A1500107,FONE,200.0,159.0,31800.0
2025-03-01,Março,A3100104,Malaa,46.0,,
2025-03-01,Março,A1500108,Garrafa,36.0,,
2025-03-01,Março,A1500108,Malaa,45.0,,
2025-03-01,Março,A3100104,Malaa,46.0,,
2025-03-01,Março,A1500108,Mochila,28.0,,
2025-03-01,Março,A1500107,Malaa,200.0,,
2025-03-01,Março,A1500108,Tênis,108.0,,
2025-03-01,Março,A1500107,Boné,56.0,,
2025-03-01,Março,A3100104,Mochila,27.0,,
2025-03-01,Março,A1500107,Carteira,56.0,210.0,11760.0
2025-03-01,Março,A1500107,Mochila,56.0,,
2025-03-01,Março,A1500107,Mochila,52.0,,
2025-03-01,Março,A3100104,FONE,31.0,159.0,4929.0
2025-03-01,Março,A1500108,Boné,30.0,,
2025-03-01,Março,A3100104,Malaa,31.0,,
2025-03-01,Março,A3100104,BOLSA,30.0,999.0,29970.0
2025-03-01,Março,A1500108,Carteira,144.0,210.0,30240.0
2025-03-01,Março,A1500108,Malaa,90.0,,
2025-03-01,Março,A1500108,Tênis,30.0,,
2025-03-01,Março,A1500107,BOLSA,156.0,999.0,155844.0
2025-03-01,Março,A1500107,FONE,50.0,159.0,7950.0
2025-03-01,Março,A3100104,Mochila,44.0,,
2025-03-01,Março,A1500107,Mochila,76.0,,
2025-03-01,Março,A1500107,Boné,26.0,,
2025-03-01,Março,A1500107,Carteira,48.0,210.0,10080.0
2025-03-01,Março,A1500108,Mochila,28.0,,
2025-03-01,Março,A3100104,Garrafa,44.0,,
2025-03-01,Março,A3100104,Mochila,17.0,,
2025-03-01,Março,A3100104,BOLSA,21.0,999.0,20979.0
2025-03-01,Março,A1500107,Tênis,88.0,,
2025-03-01,Março,A1500107,Carteira,36.0,210.0,7560.0
2025-03-01,Março,A1500108,Mochila,37.0,,
2025-03-01,Março,A3100104,Malaa,38.0,,
2025-03-01,Março,A1500108,Mochila,45.0,,
2025-03-01,Março,A1500107,BOLSA,180.0,999.0,179820.0
2025-03-01,Março,A1500108,Malaa,48.0,,
2025-03-01,Março,A1500108,Malaa,52.0,,
2025-03-01,Março,A1500108,BOLSA,37.0,999.0,36963.0
2025-03-01,Março,A1500108,Garrafa,141.0,,
2025-03-01,Março,A1500108,Tênis,48.0,,
2025-03-01,Março,A1500108,FONE,33.0,159.0,5247.0
2025-03-01,Março,A1500108,Carteira,27.0,210.0,5670.0
2025-03-01,Março,A1500108,Mochila,15.0,,
2025-03-01,Março,A1500108,BOLSA,41.0,999.0,40959.0
2025-03-01,Março,A1500108,Garrafa,52.0,,
2025-03-01,Março,A1500108,Tênis,35.0,,
2025-03-01,Março,A1500107,Boné,96.0,,
2025-03-01,Março,A1500107,Carteira,100.0,210.0,21000.0
2025-03-01,Março,A3100104,BOLSA,30.0,999.0,29970.0
2025-03-01,Março,A3100104,Tênis,51.0,,
2025-03-01,Março,A1500108,Malaa,51.0,,
2025-03-01,Março,A1500108,Garrafa,36.0,,
2025-03-01,Março,A3100104,Garrafa,39.0,,
2025-03-01,Março,A1500108,Mochila,29.0,,
2025-03-01,Março,A1500107,Malaa,54.0,,
2025-03-01,Março,A1500107,Boné,192.0,,
2025-03-01,Março,A1500108,BOLSA,52.0,999.0,51948.0
2025-03-01,Março,A3100104,Boné,32.0,,
2025-03-01,Março,A1500108,FONE,38.0,159.0,6042.0
2025-03-01,Março,A1500108,FONE,34.0,159.0,5406.0
2025-03-01,Março,A3100104,FONE,27.0,159.0,4293.0
2025-03-01,Março,A1500107,Tênis,32.0,,
2025-03-01,Março,A1500108,BOLSA,22.0,999.0,21978.0
2025-03-01,Março,A3100104,Malaa,38.0,,
