city_id,store_id,management_group_id,first_category_id,second_category_id,third_category_id,product_id,dt,sale_amount,hours_sale,stock_hour6_22_cnt,hours_stock_status,discount,holiday_flag,activity_flag,precpt,avg_temperature,avg_humidity,avg_wind_level
15,183,Grandes Varejistas,Alimentos,Categoria C,Subcategoria Y,1069,2024-01-01 22:00:00,4656.39,12-18,319,Baixo,0.0,1,0,7.99,14.06,84.78,3.45
15,126,Pequeno Varejo,Limpeza,Categoria C,Subcategoria Y,1071,2024-01-01 23:00:00,326.53,18-24,307,Alto,0.1,0,1,7.9,32.71,64.58,3.69
19,140,Pequeno Varejo,Bebidas,Categoria B,Subcategoria Y,1078,2024-01-02 00:00:00,3968.36,6-12,228,Médio,0.26,0,1,2.92,33.46,84.2,1.16
12,179,Grandes Varejistas,Alimentos,Categoria B,Subcategoria Z,1092,2024-01-02 01:00:00,2178.33,6-12,298,Baixo,0.29,1,1,16.14,29.17,50.37,2.5
20,133,Pequeno Varejo,Alimentos,Categoria A,Subcategoria Y,1062,2024-01-02 02:00:00,889.45,12-18,86,Alto,0.17,1,0,10.0,15.55,32.55,7.31
3,131,Distribuidores Regionais,Limpeza,Categoria C,Subcategoria Z,1091,2024-01-02 03:00:00,397.01,18-24,273,Alto,0.09,1,0,2.18,14.3,56.71,8.63
5,189,Grandes Varejistas,Higiene,Categoria A,Subcategoria Y,1021,2024-01-02 04:00:00,1947.74,12-18,227,Baixo,0.14,0,0,1.97,28.7,30.24,2.66
19,188,Pequeno Varejo,Limpeza,Categoria C,Subcategoria X,1097,2024-01-02 05:00:00,1946.62,6-12,339,Baixo,0.07,1,1,8.92,25.87,39.29,5.89
7,165,Grandes Varejistas,Limpeza,Categoria C,Subcategoria Y,1019,2024-01-02 06:00:00,1149.79,18-24,309,Alto,0.05,1,1,2.34,31.8,41.44,0.35
9,111,Grandes Varejistas,Limpeza,Categoria C,Subcategoria Y,1032,2024-01-02 07:00:00,1077.58,6-12,315,Alto,0.15,1,0,11.22,16.92,62.03,0.77
7,139,Auto Serviço,Bebidas,Categoria B,Subcategoria Z,1014,2024-01-02 08:00:00,1997.57,12-18,378,Médio,0.22,1,1,7.7,17.38,87.0,9.64
18,172,Grandes Varejistas,Higiene,Categoria C,Subcategoria X,1006,2024-01-02 09:00:00,2050.57,6-12,70,Alto,0.07,1,0,18.39,28.29,31.19,8.97
4,175,Auto Serviço,Bebidas,Categoria C,Subcategoria X,1087,2024-01-02 10:00:00,2211.82,12-18,227,Baixo,0.27,1,0,8.38,16.7,44.2,0.81
14,189,Pequeno Varejo,Limpeza,Categoria B,Subcategoria Z,1089,2024-01-02 11:00:00,4343.8,12-18,489,Alto,0.05,1,0,12.29,21.56,88.17,8.22
18,172,Auto Serviço,Higiene,Categoria C,Subcategoria Z,1049,2024-01-02 12:00:00,3056.27,18-24,384,Alto,0.17,0,0,16.23,23.0,82.9,1.03
9,109,Auto Serviço,Alimentos,Categoria B,Subcategoria X,1009,2024-01-02 13:00:00,102.17,12-18,112,Baixo,0.23,1,0,6.06,26.73,80.09,8.29
2,195,Auto Serviço,Higiene,Categoria B,Subcategoria Z,1078,2024-01-02 14:00:00,2595.5,18-24,292,Médio,0.06,0,0,10.24,18.61,35.51,9.14
20,197,Distribuidores Regionais,Limpeza,Categoria A,Subcategoria X,1036,2024-01-02 15:00:00,3812.26,18-24,304,Alto,0.09,1,0,2.42,31.46,68.65,1.53
15,147,Auto Serviço,Higiene,Categoria B,Subcategoria Y,1058,2024-01-02 16:00:00,282.07,18-24,290,Baixo,0.02,0,1,8.66,20.06,42.19,1.47
7,119,Grandes Varejistas,Alimentos,Categoria B,Subcategoria Y,1087,2024-01-02 17:00:00,2113.04,18-24,104,Baixo,0.28,1,1,7.52,11.03,69.06,9.27
12,138,Auto Serviço,Alimentos,Categoria B,Subcategoria X,1074,2024-01-02 18:00:00,2256.05,18-24,450,Baixo,0.15,0,0,8.56,11.68,55.65,3.01
8,159,Grandes Varejistas,Higiene,Categoria C,Subcategoria X,1062,2024-01-02 19:00:00,4770.1,12-18,290,Baixo,0.02,0,1,2.15,34.29,68.14,4.73
15,165,Auto Serviço,Alimentos,Categoria A,Subcategoria Y,1020,2024-01-02 20:00:00,2378.42,12-18,476,Médio,0.25,1,0,7.97,25.55,55.73,3.04
3,164,Distribuidores Regionais,Bebidas,Categoria C,Subcategoria Y,1078,2024-01-02 21:00:00,3749.5,18-24,8,Baixo,0.17,0,1,17.41,22.27,84.46,7.49
14,150,Pequeno Varejo,Higiene,Categoria B,Subcategoria X,1078,2024-01-02 22:00:00,1514.51,12-18,164,Alto,0.02,1,0,18.74,31.74,31.52,2.11
17,135,Auto Serviço,Alimentos,Categoria B,Subcategoria Z,1036,2024-01-02 23:00:00,3896.53,18-24,59,Médio,0.14,1,1,4.83,27.92,41.49,4.94
4,123,Auto Serviço,Alimentos,Categoria A,Subcategoria Z,1044,2024-01-03 00:00:00,1613.31,12-18,311,Baixo,0.13,1,0,6.01,14.53,79.98,8.5
18,126,Distribuidores Regionais,Higiene,Categoria A,Subcategoria X,1013,2024-01-03 01:00:00,2150.12,18-24,105,Alto,0.04,0,1,0.19,10.18,74.2,9.43
8,101,Auto Serviço,Bebidas,Categoria B,Subcategoria Z,1042,2024-01-03 02:00:00,2397.41,6-12,110,Médio,0.13,0,0,2.31,34.55,41.18,3.53
4,130,Grandes Varejistas,Higiene,Categoria B,Subcategoria Y,1084,2024-01-03 03:00:00,4631.81,6-12,88,Alto,0.08,0,0,6.9,25.73,37.29,1.14
2,156,Auto Serviço,Alimentos,Categoria C,Subcategoria Y,1083,2024-01-03 04:00:00,267.27,18-24,267,Médio,0.21,1,1,13.7,21.93,48.68,8.1
6,177,Auto Serviço,Higiene,Categoria B,Subcategoria Z,1032,2024-01-03 05:00:00,984.34,12-18,229,Baixo,0.0,1,0,5.84,33.62,58.91,1.11
10,165,Pequeno Varejo,Alimentos,Categoria C,Subcategoria X,1002,2024-01-03 06:00:00,3528.71,18-24,326,Alto,0.03,0,0,1.51,19.23,32.82,7.79
4,128,Pequeno Varejo,Limpeza,Categoria A,Subcategoria Y,1086,2024-01-03 07:00:00,2887.89,12-18,70,Baixo,0.28,1,0,14.62,28.06,80.74,6.89
18,114,Auto Serviço,Higiene,Categoria C,Subcategoria Y,1043,2024-01-03 08:00:00,1257.66,18-24,118,Médio,0.13,1,1,9.34,26.75,61.26,5.78
12,111,Distribuidores Regionais,Higiene,Categoria B,Subcategoria Y,1086,2024-01-03 09:00:00,1446.0,18-24,387,Baixo,0.05,0,1,10.38,26.93,85.17,9.39
2,127,Pequeno Varejo,Alimentos,Categoria C,Subcategoria Z,1090,2024-01-03 10:00:00,1836.55,12-18,444,Baixo,0.24,1,1,6.52,26.93,49.54,3.22
10,183,Auto Serviço,Alimentos,Categoria C,Subcategoria X,1034,2024-01-03 11:00:00,2251.73,12-18,428,Alto,0.26,1,1,12.26,10.26,32.93,0.93
4,123,Pequeno Varejo,Alimentos,Categoria A,Subcategoria Z,1024,2024-01-03 12:00:00,4090.14,18-24,494,Baixo,0.06,0,1,17.82,30.61,82.28,9.82
14,120,Auto Serviço,Alimentos,Categoria C,Subcategoria X,1095,2024-01-03 13:00:00,69.08,6-12,350,Baixo,0.21,0,0,11.08,33.07,38.98,4.41
16,109,Pequeno Varejo,Higiene,Categoria B,Subcategoria X,1085,2024-01-03 14:00:00,4490.1,6-12,433,Baixo,0.18,0,0,11.75,21.23,50.14,4.33
15,177,Pequeno Varejo,Alimentos,Categoria C,Subcategoria Z,1007,2024-01-03 15:00:00,2065.14,6-12,305,Médio,0.22,1,1,7.47,24.01,57.86,0.9
8,117,Grandes Varejistas,Higiene,Categoria C,Subcategoria Y,1061,2024-01-03 16:00:00,1152.49,6-12,102,Alto,0.24,1,1,1.65,18.12,59.52,7.44
14,187,Auto Serviço,Bebidas,Categoria C,Subcategoria X,1017,2024-01-03 17:00:00,2542.06,6-12,201,Alto,0.2,1,1,8.57,29.63,31.41,7.2
8,113,Auto Serviço,Higiene,Categoria B,Subcategoria Z,1091,2024-01-03 18:00:00,3298.35,12-18,431,Baixo,0.29,0,0,18.49,28.42,61.6,1.45
16,133,Auto Serviço,Alimentos,Categoria C,Subcategoria Y,1027,2024-01-03 19:00:00,223.76,6-12,22,Alto,0.26,1,0,13.6,28.46,34.62,2.34
13,157,Auto Serviço,Alimentos,Categoria B,Subcategoria X,1074,2024-01-03 20:00:00,3578.89,12-18,89,Médio,0.07,0,1,9.8,28.37,49.61,0.16
18,175,Pequeno Varejo,Bebidas,Categoria C,Subcategoria X,1011,2024-01-03 21:00:00,3803.81,6-12,470,Médio,0.27,1,1,12.42,15.46,88.53,8.9
15,121,Grandes Varejistas,Higiene,Categoria A,Subcategoria Y,1063,2024-01-03 22:00:00,830.91,12-18,92,Baixo,0.11,1,1,11.17,12.81,46.82,2.45
13,169,Grandes Varejistas,Bebidas,Categoria A,Subcategoria X,1001,2024-01-03 23:00:00,839.41,6-12,263,Baixo,0.22,1,0,18.25,17.77,78.77,9.27
9,135,Distribuidores Regionais,Higiene,Categoria A,Subcategoria Z,1058,2024-01-04 00:00:00,1018.92,6-12,466,Médio,0.25,1,1,4.48,24.38,60.62,5.71
15,144,Auto Serviço,Alimentos,Categoria B,Subcategoria X,1036,2024-01-04 01:00:00,3983.14,12-18,284,Médio,0.13,1,1,17.77,19.99,42.14,4.25
13,135,Distribuidores Regionais,Higiene,Categoria B,Subcategoria X,1003,2024-01-04 02:00:00,1360.02,12-18,170,Médio,0.02,1,0,13.77,16.23,73.32,0.08
1,121,Pequeno Varejo,Alimentos,Categoria B,Subcategoria Y,1040,2024-01-04 03:00:00,3979.68,18-24,308,Baixo,0.28,1,1,2.55,10.56,63.31,0.92
7,177,Distribuidores Regionais,Alimentos,Categoria C,Subcategoria Z,1044,2024-01-04 04:00:00,2702.62,6-12,389,Médio,0.02,0,1,7.44,13.03,61.98,1.59
9,179,Auto Serviço,Limpeza,Categoria B,Subcategoria Y,1033,2024-01-04 05:00:00,3835.86,6-12,220,Baixo,0.1,1,1,8.73,12.63,31.79,1.06
1,160,Grandes Varejistas,Limpeza,Categoria B,Subcategoria Z,1086,2024-01-04 06:00:00,2768.37,12-18,23,Médio,0.18,0,0,1.66,33.92,50.03,2.56
12,199,Grandes Varejistas,Higiene,Categoria B,Subcategoria Y,1012,2024-01-04 07:00:00,1678.84,12-18,375,Médio,0.04,1,0,11.08,29.47,74.08,1.55
8,155,Auto Serviço,Alimentos,Categoria B,Subcategoria X,1006,2024-01-04 08:00:00,4553.57,6-12,201,Alto,0.25,0,0,5.19,13.07,77.77,6.64
11,188,Pequeno Varejo,Bebidas,Categoria A,Subcategoria Z,1031,2024-01-04 09:00:00,3576.48,6-12,498,Médio,0.06,0,0,9.16,21.68,78.89,2.97
19,195,Auto Serviço,Alimentos,Categoria C,Subcategoria Z,1022,2024-01-04 10:00:00,2420.27,12-18,123,Baixo,0.3,0,1,8.78,26.36,32.24,7.18
17,132,Pequeno Varejo,Bebidas,Categoria A,Subcategoria X,1048,2024-01-04 11:00:00,3187.14,12-18,141,Médio,0.27,1,0,10.43,34.03,39.76,1.35
8,144,Grandes Varejistas,Higiene,Categoria C,Subcategoria Y,1071,2024-01-04 12:00:00,3079.22,6-12,51,Alto,0.18,0,0,16.92,16.72,89.13,2.09
3,135,Pequeno Varejo,Higiene,Categoria C,Subcategoria Z,1046,2024-01-04 13:00:00,1790.58,12-18,69,Médio,0.2,0,0,15.62,16.6,39.33,7.87
3,119,Auto Serviço,Bebidas,Categoria A,Subcategoria X,1036,2024-01-04 14:00:00,2118.86,12-18,259,Médio,0.16,0,0,17.46,24.21,42.78,6.34
1,117,Auto Serviço,Bebidas,Categoria B,Subcategoria X,1097,2024-01-04 15:00:00,1591.28,6-12,185,Médio,0.12,1,1,11.45,31.43,78.16,0.96
5,137,Auto Serviço,Alimentos,Categoria A,Subcategoria Z,1047,2024-01-04 16:00:00,4997.59,18-24,371,Baixo,0.11,0,0,12.32,16.99,53.61,9.59
10,166,Pequeno Varejo,Higiene,Categoria C,Subcategoria Z,1028,2024-01-04 17:00:00,2900.32,12-18,206,Médio,0.27,0,0,8.61,13.15,36.98,7.63
7,122,Pequeno Varejo,Alimentos,Categoria C,Subcategoria Z,1036,2024-01-04 18:00:00,460.28,18-24,292,Médio,0.17,0,0,14.34,16.65,37.51,5.53
9,195,Pequeno Varejo,Bebidas,Categoria B,Subcategoria X,1022,2024-01-04 19:00:00,2595.54,12-18,303,Médio,0.25,0,0,4.1,21.23,35.03,3.43
7,115,Grandes Varejistas,Limpeza,Categoria A,Subcategoria Y,1037,2024-01-04 20:00:00,249.81,18-24,377,Alto,0.15,1,0,9.5,19.0,40.84,0.94
9,158,Distribuidores Regionais,Limpeza,Categoria C,Subcategoria Y,1092,2024-01-04 21:00:00,1443.26,12-18,38,Baixo,0.09,0,1,14.28,31.53,59.82,3.58
8,168,Distribuidores Regionais,Limpeza,Categoria A,Subcategoria Z,1043,2024-01-04 22:00:00,2229.81,18-24,347,Baixo,0.03,0,0,15.56,33.57,30.9,3.23
12,167,Auto Serviço,Bebidas,Categoria B,Subcategoria X,1004,2024-01-04 23:00:00,2671.35,18-24,65,Alto,0.1,0,0,4.96,19.46,37.03,0.78
2,120,Grandes Varejistas,Alimentos,Categoria B,Subcategoria X,1051,2024-01-05 00:00:00,4880.91,12-18,12,Baixo,0.26,0,1,3.63,30.59,84.43,7.84
1,177,Pequeno Varejo,Higiene,Categoria C,Subcategoria Z,1039,2024-01-05 01:00:00,4911.11,18-24,193,Alto,0.21,0,0,5.77,11.72,82.59,4.15
16,194,Auto Serviço,Bebidas,Categoria B,Subcategoria X,1010,2024-01-05 02:00:00,490.35,6-12,315,Médio,0.24,1,1,18.4,23.84,79.98,8.9
5,177,Grandes Varejistas,Limpeza,Categoria C,Subcategoria X,1077,2024-01-05 03:00:00,2690.66,6-12,381,Baixo,0.23,0,1,2.58,30.79,72.38,1.58
3,169,Auto Serviço,Alimentos,Categoria C,Subcategoria X,1001,2024-01-05 04:00:00,4085.55,6-12,424,Médio,0.04,1,1,19.06,20.47,69.69,3.18
12,111,Grandes Varejistas,Higiene,Categoria B,Subcategoria Z,1034,2024-01-05 05:00:00,1188.56,18-24,287,Médio,0.05,0,1,19.9,13.59,46.53,2.79
8,115,Grandes Varejistas,Higiene,Categoria B,Subcategoria Z,1044,2024-01-05 06:00:00,3752.82,12-18,435,Baixo,0.1,0,1,15.67,17.1,50.1,8.65
3,180,Distribuidores Regionais,Bebidas,Categoria A,Subcategoria Z,1048,2024-01-05 07:00:00,4393.1,18-24,132,Médio,0.09,1,1,15.21,22.3,44.15,5.08
1,186,Auto Serviço,Bebidas,Categoria A,Subcategoria Y,1034,2024-01-05 08:00:00,3312.44,12-18,194,Médio,0.02,1,0,19.07,31.09,88.82,1.42
3,113,Pequeno Varejo,Higiene,Categoria C,Subcategoria Y,1091,2024-01-05 09:00:00,1638.52,18-24,321,Alto,0.05,1,1,5.81,28.71,68.06,3.57
5,160,Distribuidores Regionais,Higiene,Categoria A,Subcategoria Z,1071,2024-01-05 10:00:00,4615.66,12-18,77,Baixo,0.26,0,0,2.58,12.09,87.95,9.43
15,170,Distribuidores Regionais,Limpeza,Categoria C,Subcategoria X,1031,2024-01-05 11:00:00,4417.6,18-24,249,Médio,0.18,1,1,16.46,23.65,46.31,5.51
14,145,Pequeno Varejo,Higiene,Categoria B,Subcategoria X,1067,2024-01-05 12:00:00,3579.13,18-24,231,Alto,0.1,1,0,3.42,31.81,67.27,0.37
3,131,Grandes Varejistas,Bebidas,Categoria B,Subcategoria Z,1070,2024-01-05 13:00:00,1818.34,6-12,179,Baixo,0.16,0,1,0.91,24.43,75.54,0.58
1,114,Pequeno Varejo,Alimentos,Categoria A,Subcategoria X,1038,2024-01-05 14:00:00,3959.48,18-24,381,Médio,0.08,0,0,3.93,11.62,35.68,2.36
5,143,Auto Serviço,Limpeza,Categoria C,Subcategoria X,1047,2024-01-05 15:00:00,1580.54,6-12,491,Médio,0.18,0,1,8.76,30.58,70.02,6.21
14,116,Pequeno Varejo,Limpeza,Categoria C,Subcategoria Y,1090,2024-01-05 16:00:00,1264.76,12-18,176,Médio,0.02,0,0,9.9,32.67,40.14,2.45
7,140,Grandes Varejistas,Higiene,Categoria A,Subcategoria X,1036,2024-01-05 17:00:00,2575.07,12-18,28,Médio,0.27,1,0,1.25,19.73,49.68,8.5
9,153,Pequeno Varejo,Alimentos,Categoria C,Subcategoria X,1059,2024-01-05 18:00:00,4985.68,6-12,495,Médio,0.07,1,0,8.87,17.75,72.97,6.29
15,143,Grandes Varejistas,Limpeza,Categoria C,Subcategoria Z,1080,2024-01-05 19:00:00,4021.61,18-24,165,Baixo,0.25,1,1,12.09,23.58,56.4,3.01
15,197,Grandes Varejistas,Bebidas,Categoria B,Subcategoria Y,1073,2024-01-05 20:00:00,3648.96,12-18,325,Baixo,0.2,0,0,18.64,34.6,85.27,3.94
10,104,Auto Serviço,Higiene,Categoria C,Subcategoria Y,1003,2024-01-05 21:00:00,2260.06,18-24,497,Alto,0.16,0,1,4.55,30.94,44.47,3.75
13,126,Pequeno Varejo,Bebidas,Categoria C,Subcategoria X,1022,2024-01-05 22:00:00,1559.75,18-24,225,Alto,0.28,0,0,4.22,30.28,39.23,3.14
19,186,Pequeno Varejo,Higiene,Categoria C,Subcategoria Z,1013,2024-01-05 23:00:00,4279.5,18-24,135,Alto,0.05,0,1,7.79,14.83,50.23,6.3
7,177,Auto Serviço,Limpeza,Categoria A,Subcategoria Y,1004,2024-01-06 00:00:00,2838.66,12-18,186,Baixo,0.04,1,1,19.67,32.38,81.12,2.02
17,178,Grandes Varejistas,Higiene,Categoria A,Subcategoria Y,1065,2024-01-06 01:00:00,4066.27,12-18,54,Baixo,0.1,1,0,6.72,23.9,80.85,2.92
20,142,Pequeno Varejo,Alimentos,Categoria A,Subcategoria X,1023,2024-01-06 02:00:00,2438.77,18-24,365,Baixo,0.25,0,0,0.88,32.92,52.16,0.85
4,196,Auto Serviço,Bebidas,Categoria C,Subcategoria Y,1017,2024-01-06 03:00:00,3769.79,6-12,1,Médio,0.01,0,1,5.31,26.29,78.59,3.76
5,130,Grandes Varejistas,Alimentos,Categoria C,Subcategoria Z,1026,2024-01-06 04:00:00,4338.71,6-12,409,Baixo,0.07,0,1,11.17,30.85,34.67,0.64
7,198,Auto Serviço,Bebidas,Categoria A,Subcategoria Z,1023,2024-01-06 05:00:00,1956.95,6-12,318,Baixo,0.13,0,1,8.25,14.14,30.46,0.18
13,116,Pequeno Varejo,Bebidas,Categoria A,Subcategoria Y,1028,2024-01-06 06:00:00,67.85,18-24,16,Médio,0.21,1,0,15.48,27.66,81.89,6.46
15,191,Auto Serviço,Higiene,Categoria C,Subcategoria Z,1010,2024-01-06 07:00:00,1274.63,6-12,58,Alto,0.09,0,0,12.15,16.43,82.44,1.62
11,182,Distribuidores Regionais,Limpeza,Categoria C,Subcategoria Z,1017,2024-01-06 08:00:00,4574.58,12-18,87,Alto,0.13,1,0,11.19,14.22,38.6,0.35
4,153,Grandes Varejistas,Limpeza,Categoria B,Subcategoria X,1003,2024-01-06 09:00:00,3437.71,6-12,222,Alto,0.1,0,0,6.46,24.35,47.86,0.68
13,161,Distribuidores Regionais,Alimentos,Categoria A,Subcategoria Y,1032,2024-01-06 10:00:00,3686.09,6-12,271,Médio,0.03,0,0,11.04,25.07,81.04,1.99
7,186,Distribuidores Regionais,Higiene,Categoria C,Subcategoria Y,1077,2024-01-06 11:00:00,1626.44,18-24,57,Médio,0.22,0,0,12.31,22.27,35.03,7.21
19,131,Grandes Varejistas,Limpeza,Categoria A,Subcategoria X,1041,2024-01-06 12:00:00,3506.36,12-18,191,Médio,0.14,0,0,3.58,12.23,81.79,0.12
2,139,Grandes Varejistas,Bebidas,Categoria A,Subcategoria X,1031,2024-01-06 13:00:00,3231.41,12-18,49,Baixo,0.24,0,1,14.72,16.12,64.48,7.27
10,112,Auto Serviço,Bebidas,Categoria A,Subcategoria X,1050,2024-01-06 14:00:00,891.87,6-12,212,Alto,0.21,0,1,7.86,15.89,69.44,5.97
13,183,Grandes Varejistas,Higiene,Categoria B,Subcategoria X,1003,2024-01-06 15:00:00,4843.45,18-24,229,Médio,0.02,0,0,14.85,17.84,65.69,5.14
6,134,Distribuidores Regionais,Alimentos,Categoria C,Subcategoria Z,1019,2024-01-06 16:00:00,1770.13,18-24,153,Médio,0.15,0,0,3.55,25.7,64.95,9.09
12,104,Distribuidores Regionais,Higiene,Categoria C,Subcategoria Z,1084,2024-01-06 17:00:00,1646.43,6-12,272,Alto,0.3,1,0,13.13,20.95,41.1,8.3
12,172,Pequeno Varejo,Alimentos,Categoria A,Subcategoria X,1066,2024-01-06 18:00:00,1845.81,12-18,369,Alto,0.09,0,1,0.54,34.21,44.16,4.19
20,128,Grandes Varejistas,Higiene,Categoria C,Subcategoria Y,1088,2024-01-06 19:00:00,458.6,12-18,45,Baixo,0.15,0,1,3.18,10.4,64.8,0.07
11,169,Distribuidores Regionais,Bebidas,Categoria B,Subcategoria Y,1067,2024-01-06 20:00:00,3124.82,12-18,361,Alto,0.2,0,0,17.82,15.4,54.08,7.11
7,124,Pequeno Varejo,Higiene,Categoria A,Subcategoria Y,1061,2024-01-06 21:00:00,1193.12,18-24,382,Médio,0.06,1,1,9.23,24.34,62.48,0.48
1,194,Pequeno Varejo,Limpeza,Categoria B,Subcategoria X,1057,2024-01-06 22:00:00,4016.56,6-12,451,Baixo,0.21,1,0,10.16,31.98,45.2,2.78
1,121,Auto Serviço,Limpeza,Categoria B,Subcategoria Z,1046,2024-01-06 23:00:00,1970.78,18-24,305,Alto,0.2,0,1,18.15,10.85,57.83,4.93
20,165,Distribuidores Regionais,Higiene,Categoria C,Subcategoria Z,1074,2024-01-07 00:00:00,2292.79,12-18,426,Baixo,0.11,0,0,9.7,32.09,38.6,0.99
13,144,Auto Serviço,Alimentos,Categoria C,Subcategoria Z,1079,2024-01-07 01:00:00,3232.11,18-24,117,Médio,0.09,1,1,13.09,22.68,32.3,6.79
9,168,Distribuidores Regionais,Alimentos,Categoria B,Subcategoria Z,1058,2024-01-07 02:00:00,3809.36,12-18,175,Médio,0.28,1,0,4.44,29.64,87.07,3.21
3,190,Auto Serviço,Bebidas,Categoria C,Subcategoria Y,1099,2024-01-07 03:00:00,1155.58,6-12,67,Médio,0.04,1,1,1.63,33.72,73.38,3.62
7,188,Auto Serviço,Bebidas,Categoria B,Subcategoria Y,1005,2024-01-07 04:00:00,4831.47,12-18,250,Médio,0.13,0,1,7.07,15.39,59.88,6.48
6,171,Grandes Varejistas,Alimentos,Categoria B,Subcategoria Z,1094,2024-01-07 05:00:00,3111.61,6-12,402,Baixo,0.23,0,0,15.97,24.7,63.06,3.98
8,100,Auto Serviço,Higiene,Categoria A,Subcategoria X,1039,2024-01-07 06:00:00,28.19,18-24,229,Baixo,0.04,1,0,8.94,32.09,60.67,2.25
9,183,Grandes Varejistas,Bebidas,Categoria B,Subcategoria Z,1076,2024-01-07 07:00:00,2078.11,18-24,408,Médio,0.28,1,0,3.36,31.11,83.93,1.77
5,143,Pequeno Varejo,Alimentos,Categoria B,Subcategoria Z,1022,2024-01-07 08:00:00,2184.09,18-24,199,Baixo,0.16,0,1,10.9,23.02,76.42,7.24
1,186,Distribuidores Regionais,Alimentos,Categoria C,Subcategoria X,1051,2024-01-07 09:00:00,4045.82,12-18,145,Médio,0.15,0,0,5.28,33.74,49.51,7.51
